Day,MSE Conv,MSE PCA
2022-11-19,0.9757724998053164,3.0490810185185184
2022-11-20,0.7822407502681017,2.885465020576132
2022-11-21,0.7803590793628246,2.8796802983539096
2022-11-22,0.838188057532534,2.847557484567901
2022-11-23,0.7483732863329351,2.7871661522633744
2022-11-24,1.1706664762459695,3.604037808641975
2022-11-25,0.8790638891514391,2.9313220164609053
2022-11-26,0.8148329670075327,2.8743595679012346
2022-11-27,1.1570994229987264,3.3667321244855968
2022-11-28,1.2277231458574531,3.4510293209876544
2022-11-29,0.7479228323791176,2.762252314814815
2022-11-30,0.8267298911232501,2.874443158436214
2022-12-01,0.8851809077896178,3.1138023405349795
2022-12-02,0.7873569382354617,2.829797453703704
2022-12-03,0.92031643493101,2.887455504115226
2022-12-04,0.9544500627089292,3.002059284979424
2022-12-05,0.8067220647353679,2.9023225308641982
