Day,MSE 0/100,MSE 100/0,MSE 70/30,MSE 10/90,MSE 30/70
2022-08-16,2.042532186023891,10.229820571839813,4.33726348914206,1.429583989083767,2.4265500297769904
2022-08-17,1.761789119336754,12.377131897956133,4.792907014489174,1.3760170759633183,2.4424980115145445
2022-08-18,1.5749979112297297,11.15682452917099,4.282759688794614,1.4524782355874777,2.3566696420311932
2022-08-19,1.522065089084208,11.559333130717278,4.221371132880448,1.294743474572897,2.2166172321885824
2022-08-20,1.3918955926783383,12.100830674171448,4.493644097819924,1.1733105406165123,2.0695019513368607
2022-08-21,1.4857985288836062,11.8178940564394,4.429561486467718,1.2214885116554797,2.112911771982908
2022-08-22,1.460168429184705,12.381487414240837,4.552484890446066,1.1776341148652136,2.0766322687268257
2022-08-23,1.5503899566829205,11.659170873463154,4.211201453581452,1.334535889327526,2.228787741623819
2022-08-24,1.996863624081016,11.132215149700642,4.267233246937393,1.4306026906706393,2.4180871713906527
2022-08-25,2.00480496045202,10.922302063554524,4.174413252621888,1.4672066015191376,2.412730883806944
2022-08-26,1.4699975517578423,10.98626498132944,4.3018802627921096,1.2546544382348657,2.112893485464156
2022-08-27,1.6074671689420938,11.956569515168667,4.105781810358167,1.3530070544220507,2.2879356052726507
2022-08-28,1.415114721748978,11.877729445695875,4.502223562449217,1.181319085881114,2.0170908886939287
2022-08-29,1.4790211175568402,11.038321238011124,4.336398560553788,1.1859236075542867,2.1229572454467416
2022-08-30,1.7550488747656343,11.327257733792068,4.223469095304608,1.4528743643313646,2.4255910562351346
2022-08-31,1.8249052762985232,10.713187884539368,4.183575510978699,1.4165451074950397,2.3981562908738847
2022-09-01,2.8483822569251065,11.65481060743332,4.305016519501805,1.5241775382310152,2.4465333949774504
2022-09-02,3.0005206307396293,11.79426122456789,4.522628942504525,1.6986690438352525,2.72905417252332
2022-09-03,2.457502693869173,10.42418584227562,4.258755901828408,1.573225068859756,2.639113236218691
2022-09-04,2.2078245040029287,10.581334959715603,4.20432192273438,1.491290065459907,2.5611392827704553
2022-09-05,1.5366629557684064,12.461927197873592,4.264857899397612,1.3035217160359025,2.0580401038751006
2022-09-06,1.7633116501383483,12.930749841034412,4.94472929276526,1.482363750692457,2.229462917894125
2022-09-07,1.4924381976015866,12.672441601753235,4.829578846693039,1.2797170621342957,2.066135806962848
2022-09-08,2.4692922737449408,10.690937228500845,4.2222018633037806,1.6339559038169682,2.6947500882670283
2022-09-09,2.496300986967981,11.064956858754158,4.1508226934820405,1.6180976922623813,2.7320640860125422
2022-09-10,2.468566750176251,10.93792112544179,4.136248100548983,1.624521128833294,2.627207525074482
2022-09-11,2.203627391718328,11.169473100453617,5.075026676058768,1.5773953450843692,2.6133610680699353
2022-09-12,2.7323222346603866,11.639814712107182,4.624368008226156,1.8643248360604048,3.0341203277930617
2022-09-13,2.4979161377996206,11.709594167768955,4.683947861194612,1.8775121471844614,2.961293673142791
2022-09-14,2.48652886133641,10.982038658112288,4.236221211031078,1.6771545982919633,2.7159790741279717
2022-09-15,1.9583782204426825,12.295138947665693,4.1534868255257615,1.6881323279812932,2.59061548858881
2022-09-16,1.7272894643247128,12.096041981130838,3.9862345252186064,1.5984612959437072,2.441497952677309
2022-09-17,1.7126763984560966,11.666224244982006,3.914749911054969,1.4021297497674823,2.3961269622668624
2022-09-18,1.7696077935397625,11.668606717139482,4.0171116683632135,1.4900117903016508,2.435210715048015
2022-09-19,1.5978948888368905,12.86173889413476,3.952179802581668,1.4037964353337884,2.3715515434741974
2022-09-20,1.655727548059076,12.615375313907863,4.0773227624595165,1.455082402098924,2.3494013445451856
2022-09-21,1.9196275435388088,12.008887007832527,4.185723345726728,1.8334510177373886,2.3475363571196795
2022-09-22,1.615646230056882,13.281475771218538,4.385900404304266,1.4726831763982773,2.012025285512209
2022-09-23,1.9148295884951951,12.41271698847413,4.266043435782194,1.7887343047186732,2.2877696016803384
2022-09-24,1.7388287326321006,12.914803996682167,4.481992498040199,1.3967220461927354,2.1174986008554697
2022-09-25,1.5277073113247752,12.916749492287636,4.744083434343338,1.360088330693543,2.067660950124264
2022-09-26,1.934092417359352,12.91870828717947,4.225994534790516,1.5744927758350968,2.1423110319301486
2022-09-27,1.8578780069947245,12.764506861567495,4.309238567948341,1.500575935933739,2.0919452095404267
2022-09-28,1.9162915600463748,12.79045756906271,4.140978846698999,1.539631902705878,2.3480916023254395
2022-09-29,2.1024005860090256,12.429727725684645,4.11619040183723,1.5823620348237455,2.428639680147171
